id,Name,titleProject_id,class,score
563209611,Сербин Геннадий Михаилович,7,8в,2
198330385,Папандина Клавдия Яковлевна,304,9в,5
138827881,Белагина Галина Андреевна,396,9а,4
389916612,Кижняева Анна Леонидовна,178,7и,2
318807900,Цывин Олег Яковлевич,446,7т,2
363414270,Жидняева Ксения Эдуардовна,373,7х,4
821603217,Липковский Анатолий Иванович,144,10а,2
363414270,Меднова Наталья Богдановна,290,7и,5
563209611,Житихин Вячеслав Романович,141,9а,5
138827881,Шеврина Полина Максимовна,33,11а,5
824679109,Алпеев Валентин Данилович,323,8а,2
480519285,Золикова Клара Игоревна,364,10х,2
545032195,Дориков Дмитрий Петрович,296,10г,5
973882807,Корабышев Кирилл Михаилович,302,8и,5
385955796,Ростовиков Константин Николаевич,336,10а,2
545032195,Нехаев Дмитрий Фёдорович,129,7х,4
389916612,Зызлова Мария Николаевна,430,8г,3
821603217,Королупов Валерий Тимофеевич,397,10д,5
824679109,Стенцов Евгений Яковлевич,315,8и,4
57240130,Феклисов Константин Виталиевич,270,9т,None
824679109,Синелев Руслан Тимофеевич,300,8и,2
138827881,Опевалова Вера Евгеньевна,473,9д,5
198330385,Назерова Вероника Василевна,206,7б,5
213311271,Дименская Светлана Дмитриевна,387,9д,5
138827881,Ковторева Раиса Василевна,482,9и,2
973882807,Кулишнин Вячеслав Яковлевич,386,11х,5
973957065,Лексин Кирилл Антонович,139,7в,5
762048367,Лаковский Григорий Василиевич,240,7д,5
762329317,Барамыкова Александра Алексеевна,106,10а,3
363414270,Плясулина Оксана Андреевна,346,8х,2
762048367,Петрикеев Станислав Яковлевич,14,7и,4
824679109,Моторыгин Илья Георгиевич,238,10и,5
318807900,Рыков Тарас Павлович,174,10и,5
781437302,Иончикова Елизавета Егоровна,169,8д,5
389916612,Смолькина Алиса Егоровна,441,7г,5
824679109,Оболенин Герасим Павлович,472,7и,4
821603217,Трощинский Георгий Борисович,67,9д,3
389916612,Поддубская Лиза Игоревна,496,10а,4
138827881,Телькова Валерия Олеговна,335,7х,4
792061660,Чигварина Александра Алексеевна,428,10б,2
824679109,Киреевский Артур Игоревич,119,7в,3
973957065,Шумейкин Роман Павлович,420,8в,5
563209611,Трушинов Максим Алексиевич,82,8и,4
973957065,Голюков Денис Сергеевич,62,11б,4
213311271,Хлиманкова Надежда Валерьевна,461,10б,3
973882807,Кулаженков Алексей Олегович,367,10в,2
824679109,Бутукин Владимир Адамович,221,7х,5
973957065,Поддуев Леонид Олегович,149,9х,4
973957065,Ревцев Василий Павлович,360,9х,5
545032195,Старокожев Артём Юрьевич,46,8д,3
563209611,Светошев Максим Михаилович,321,10х,2
781437302,Старынина Кристина Федоровна,266,9д,3
824679109,Востров Дмитрий Денисович,282,9г,3
792061660,Бураханова Анастасия Леонидовна,16,8г,2
824679109,Понизов Виктор Кириллович,214,11и,5
973882807,Суздалев Валерий Алексеевич,66,11т,5
973882807,Колендин Дмитрий Алексеевич,153,10в,4
781437302,Сулькова Екатерина Андреевна,325,8и,4
781437302,Аржевитова Надежда Федоровна,242,10в,2
545032195,Крассов Валерий Олегович,201,8х,5
389916612,Сонураева Инна Андреевна,450,9т,3
229910217,Пашин Роман Вадимович,204,10д,2
138827881,Фичкина Евгения Федоровна,29,11д,3
792985931,Свилин Олег Виталиевич,123,8в,2
545032195,Рогоцкий Андрей Адамович,142,9в,2
824679109,Ахантьев Игорь Валериевич,80,10д,5
781437302,Сочиникова Ксения Кирилловна,100,10д,2
973957065,Остюков Артур Романович,329,11и,3
138827881,Брюкина Оксана Викторовна,98,8в,5
545032195,Кузовенков Игорь Юрьевич,322,9г,None
792985931,Калухов Тарас Иванович,207,11а,3
973957065,Батыров Пётр Виталиевич,227,7и,3
363414270,Озрина Катерина Валерьевна,147,10а,4
363414270,Декалова Полина Леонидовна,470,11д,5
821603217,Лосицкий Владимир Кириллович,369,9т,5
545032195,Магнусов Пётр Максимович,437,7и,5
973882807,Лавренков Михаил Василиевич,188,9б,2
213311271,Шушкалова Вероника Алексеевна,411,8т,5
792061660,Бороданова Маргарита Дмитриевна,118,7г,5
363414270,Циркина Виолетта Федоровна,231,9г,2
781437302,Болохина Екатерина Андреевна,194,11д,3
138827881,Чукалова Дарья Валерьевна,20,10г,4
824679109,Беловолов Степан Петрович,222,9д,2
198330385,Зудейкина Вероника Ивановна,166,8и,3
389916612,Макунова Мария Борисовна,47,9в,5
