id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,72Mk7M5E
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,IbdSVT0q
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,k6oNhegJ
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,8RnRk4ad
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,OdT2wtQ8
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,Cp6r3gB0
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,I1JsguxL
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,oP4EJdwd
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,znpyhMpf
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,NywgmNBr
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,gnZfWJEx
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,4ICTbhbz
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,WQzt2jpO
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,VQmD5tNA
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,5fJ8B7IJ
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,HxG8wD1C
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,2EpPjPHB
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,GTIo2SYJ
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,GirDKRP3
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,zinhlHvi
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,qNDOCAcl
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,9RymjXfs
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,YEmbva1M
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,xOsfOExD
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,NhTcMVpW
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,gwwK1CU3
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,f5GC0E4F
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,Wunb2ssg
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,fIqPG4c5
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,uLyvpnqs
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,TE0anjOu
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,64SZyc2W
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,0BCCP3aH
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,fwQSPhM5
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,2GXqsly1
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,Y1bqIXtt
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,xRiOrt8g
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,mWyd55yS
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,iLNmNGvZ
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,H1aasMUg
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,5aQZ4q2E
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,opXCrZa6
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,TC7F0sQF
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,zDrtkNzr
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,JJPgO9Pz
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,xFO15ZDy
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,R2yVMioO
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,YQNfamo9
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,VV7bHK1p
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,Y3RMjWfb
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,5PvQbG05
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,XnG8xCAO
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,Zz1y1bvE
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,j1c2rkIS
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,Dzw6acs5
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,ptzEbSOT
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,ETxDmnaZ
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,yniFOIhB
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,9NqQ3f3Z
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,HBdEMhkl
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,Hca3JQdj
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,nnZFzSDO
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,nfWs1lUG
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,lQ2B5pKq
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,UkcLSvPK
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,b0LcZoN7
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,s865bHor
67,Остюков Артур Романович,329,11и,3,Остюков_АР,nD2WKkIa
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,PQ0TGkE7
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,UqhYjDcV
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,ZaowCmYM
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,H4uifrKb
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,6Nqs3SMZ
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,s1RloFkw
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,PSNjuiro
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,BmmR1Whn
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,SBWFVqlK
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,ys7l7JI2
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,Jvbu3hsh
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,Yo0mcFJi
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,KLM8naee
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,nEp4nlfM
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,5aSSzxnT
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,fm6TkYuD
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,UN0eQetJ
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,fLTLg4Kd
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,lz84vssn
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,gzwHsYb5
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,d7CdVTtU
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,aFINogTP
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,Cul3rQyn
